,model,feature selection,features,number of features,accuracy_score,recall_score,precision_score,f1_score
0,RandomForestClassifier,RFE,"['Min', 'IAT', 'Magnitue']",3,0.9886882567346768,0.7254883216906244,0.7148631640471133,0.7195533847156453
1,DecisionTreeClassifier,RFE,"['Min', 'IAT', 'Magnitue']",3,0.9888977334618124,0.8426215818604167,0.877619015950524,0.8480205395291941
2,KNeighborsClassifier,RFE,"['Min', 'IAT', 'Magnitue']",3,0.958774980099711,0.5744595909016608,0.5193714592941785,0.5299720250196558
3,RandomForestClassifier,RFE,"['syn_count', 'Min', 'IAT', 'Magnitue']",4,0.9905107042607566,0.822159679864423,0.7586246378700996,0.7726971894554482
4,DecisionTreeClassifier,RFE,"['syn_count', 'Min', 'IAT', 'Magnitue']",4,0.9891491055343752,0.8006040391456429,0.8324373432322639,0.8046230135351868
5,KNeighborsClassifier,RFE,"['syn_count', 'Min', 'IAT', 'Magnitue']",4,0.954857765302275,0.5482121164317943,0.5134279159226658,0.518119905628944
6,RandomForestClassifier,RFE,"['syn_count', 'AVG', 'Tot size', 'IAT', 'Magnitue']",5,0.9901126984791989,0.8564926257926853,0.7466954806137458,0.772228078742391
7,DecisionTreeClassifier,RFE,"['syn_count', 'AVG', 'Tot size', 'IAT', 'Magnitue']",5,0.9886254137165361,0.7746248892635585,0.8164967502912805,0.7823491789246351
8,KNeighborsClassifier,RFE,"['syn_count', 'AVG', 'Tot size', 'IAT', 'Magnitue']",5,0.9557794629016716,0.5530192736063252,0.5217411452083001,0.5267003945231408
9,RandomForestClassifier,RFE,"['fin_flag_number', 'syn_count', 'Min', 'Tot size', 'IAT', 'Magnitue']",6,0.9906782856424651,0.8230009868589838,0.7250123909350881,0.7446968728577726
10,DecisionTreeClassifier,RFE,"['fin_flag_number', 'syn_count', 'Min', 'Tot size', 'IAT', 'Magnitue']",6,0.9895052159705057,0.7942613775031107,0.8203260324541957,0.8008818602666521
11,KNeighborsClassifier,RFE,"['fin_flag_number', 'syn_count', 'Min', 'Tot size', 'IAT', 'Magnitue']",6,0.9570572709371988,0.5511628502496593,0.5165633253350196,0.5213295019317983
12,RandomForestClassifier,RFE,"['fin_flag_number', 'psh_flag_number', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",7,0.9894004776069378,0.7502966250264116,0.6938999808088365,0.7080698203783171
13,DecisionTreeClassifier,RFE,"['fin_flag_number', 'psh_flag_number', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",7,0.9892119485525158,0.8209816288628161,0.865392366479849,0.8287871954403565
14,KNeighborsClassifier,RFE,"['fin_flag_number', 'psh_flag_number', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",7,0.9581256022455905,0.5684968544419704,0.5242912967239153,0.5308426632984409
15,RandomForestClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'psh_flag_number', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",8,0.989966064770204,0.714427870720822,0.6866717646955272,0.6966357904271875
16,DecisionTreeClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'psh_flag_number', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",8,0.9891700532070887,0.8598818253643036,0.8614660771324498,0.8414585766242448
17,KNeighborsClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'psh_flag_number', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",8,0.9670702584942813,0.6238057942396054,0.5729223675457769,0.5791054571215862
18,RandomForestClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'psh_flag_number', 'syn_count', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",9,0.991495244878294,0.742875356394951,0.7171306638449406,0.7260121169412831
19,DecisionTreeClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'psh_flag_number', 'syn_count', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",9,0.9893166869160837,0.7858236069259599,0.8183853545707243,0.7882572511049759
20,KNeighborsClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'psh_flag_number', 'syn_count', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",9,0.9665046713310151,0.6049526678449286,0.5691065389756891,0.5743427979369536
21,RandomForestClassifier,RFE,"['Protocol Type', 'psh_flag_number', 'ack_count', 'syn_count', 'Tot sum', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",10,0.9911810297875906,0.777538370544306,0.7075013900796217,0.7193451724739797
22,DecisionTreeClassifier,RFE,"['Protocol Type', 'psh_flag_number', 'ack_count', 'syn_count', 'Tot sum', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",10,0.9897146926976413,0.7824898165732064,0.8048805048149178,0.7831086583651135
23,KNeighborsClassifier,RFE,"['Protocol Type', 'psh_flag_number', 'ack_count', 'syn_count', 'Tot sum', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",10,0.9652059156227744,0.6245034030889246,0.5884603875437836,0.5939325857440927
24,RandomForestClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",11,0.9914324018601534,0.7704661722560597,0.7118354619168283,0.725479029615136
25,DecisionTreeClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",11,0.9893376345887972,0.8234752172257389,0.857398694561847,0.8209320960489069
26,KNeighborsClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'Min', 'AVG', 'Tot size', 'IAT', 'Magnitue']",11,0.9653316016590556,0.6264638017342526,0.5951984531083944,0.5998697044685269
27,RandomForestClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",12,0.991306715823872,0.7400425136515448,0.7039608755347379,0.7150428170062307
28,DecisionTreeClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",12,0.9901755414973397,0.8655542385871928,0.8624663012200131,0.8501526782846001
29,KNeighborsClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",12,0.9649964388956387,0.6256781013452315,0.5942521150623801,0.5991853134342593
30,RandomForestClassifier,RFE,"['flow_duration', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",13,0.9910972390967363,0.7690639725439804,0.702803916174154,0.7134581958014883
31,DecisionTreeClassifier,RFE,"['flow_duration', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",13,0.9901755414973397,0.8325134533754733,0.861260397948815,0.8299020088345715
32,KNeighborsClassifier,RFE,"['flow_duration', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",13,0.9651430726046336,0.6247667702200898,0.5947116816297572,0.5997038215967033
33,RandomForestClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'syn_count', 'fin_count', 'urg_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",14,0.9910553437513092,0.7408215552197719,0.6974683797547238,0.7055025993653312
34,DecisionTreeClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'syn_count', 'fin_count', 'urg_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",14,0.9901336461519126,0.8586139925553814,0.8584065066498452,0.8379780473506055
35,KNeighborsClassifier,RFE,"['Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'syn_count', 'fin_count', 'urg_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",14,0.9674473166031254,0.6294502989977493,0.5964426513813342,0.603762115106859
36,RandomForestClassifier,RFE,"['flow_duration', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'urg_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",15,0.9914533495328669,0.7100187275904754,0.6971162404823487,0.7011751285765526
37,DecisionTreeClassifier,RFE,"['flow_duration', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'urg_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",15,0.9911391344421635,0.8543590128893143,0.8625101384084978,0.843213709705554
38,KNeighborsClassifier,RFE,"['flow_duration', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'urg_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",15,0.9656039214043319,0.6348960721029957,0.6047296293104043,0.6105879595899303
39,RandomForestClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'urg_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",16,0.9923331517868365,0.760009841787663,0.7114964428144818,0.7202593967790901
40,DecisionTreeClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'urg_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",16,0.9914324018601534,0.8314638526885669,0.8594293154640362,0.8311560162612595
41,KNeighborsClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'urg_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",16,0.9650383342410658,0.6359526136015379,0.6065545237242465,0.6124938711804935
42,RandomForestClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'rst_count', 'ICMP', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",17,0.9917675646235703,0.7717737111522515,0.7094584234914763,0.7214587949166059
43,DecisionTreeClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'rst_count', 'ICMP', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",17,0.9910343960785957,0.8154182307325892,0.8623781084366126,0.8293895731558154
44,KNeighborsClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'rst_count', 'ICMP', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",17,0.9646822238049353,0.6341885347758143,0.6028348528772072,0.6078448776767276
45,RandomForestClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'fin_count', 'urg_count', 'rst_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",18,0.9920817797142737,0.7722656221417514,0.7088551770667357,0.7189082112276368
46,DecisionTreeClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'fin_count', 'urg_count', 'rst_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",18,0.9915371402237212,0.8175592721229981,0.8613655590843434,0.8298919961707591
47,KNeighborsClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'fin_count', 'urg_count', 'rst_count', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",18,0.9651849679500607,0.6406770068821102,0.6086540267701652,0.6151478209265158
48,RandomForestClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'fin_count', 'urg_count', 'rst_count', 'UDP', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",19,0.9916209309145754,0.7102317313177515,0.6982344829164695,0.7019781282160441
49,DecisionTreeClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'fin_count', 'urg_count', 'rst_count', 'UDP', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",19,0.991160082114877,0.8301217917859227,0.8620454495407965,0.8404598258480717
50,KNeighborsClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'fin_count', 'urg_count', 'rst_count', 'UDP', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",19,0.9649545435502116,0.6393909691583161,0.6076026724345799,0.6141849903507075
51,RandomForestClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'Srate', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'fin_count', 'urg_count', 'rst_count', 'UDP', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",20,0.9920189366961331,0.7341405899135706,0.7087545674575937,0.7157372601278371
52,DecisionTreeClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'Srate', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'fin_count', 'urg_count', 'rst_count', 'UDP', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",20,0.9909087100423143,0.8074494106066329,0.8619099098611098,0.8130765272299777
53,KNeighborsClassifier,RFE,"['flow_duration', 'Header_Length', 'Protocol Type', 'Srate', 'fin_flag_number', 'syn_flag_number', 'psh_flag_number', 'ack_count', 'syn_count', 'fin_count', 'urg_count', 'rst_count', 'UDP', 'Tot sum', 'Min', 'Max', 'AVG', 'Tot size', 'IAT', 'Magnitue']",20,0.9619799740248859,0.6398405529108703,0.6067664897789555,0.6137492332660626
