,model,feature selection,features,number of features,accuracy_score,recall_score,precision_score,f1_score
0,RandomForestClassifier,Pearson 0.3,"['Header_Length', 'Duration', 'ack_flag_number', 'rst_count', 'HTTPS', 'Tot sum', 'Max', 'AVG', 'Std', 'Tot size', 'Magnitue', 'Radius', 'Variance']",13,0.9907201809878923,0.8885739650419531,0.9166784277249393,0.9021069852248993
1,DecisionTreeClassifier,Pearson 0.3,"['Header_Length', 'Duration', 'ack_flag_number', 'rst_count', 'HTTPS', 'Tot sum', 'Max', 'AVG', 'Std', 'Tot size', 'Magnitue', 'Radius', 'Variance']",13,0.9884997276802547,0.871434957947185,0.8801848999523418,0.8757559713883813
2,KNeighborsClassifier,Pearson 0.3,"['Header_Length', 'Duration', 'ack_flag_number', 'rst_count', 'HTTPS', 'Tot sum', 'Max', 'AVG', 'Std', 'Tot size', 'Magnitue', 'Radius', 'Variance']",13,0.9893166869160837,0.8693836366138061,0.9124678345608579,0.8896662494660368
3,RandomForestClassifier,Pearson 0.1,"['Header_Length', 'Duration', 'ack_flag_number', 'syn_count', 'urg_count', 'rst_count', 'HTTPS', 'Tot sum', 'Min', 'Max', 'AVG', 'Std', 'Tot size', 'Magnitue', 'Radius', 'Covariance', 'Variance']",17,0.9919560936779924,0.9025259910615445,0.9277872556942324,0.9147502984489584
4,DecisionTreeClassifier,Pearson 0.1,"['Header_Length', 'Duration', 'ack_flag_number', 'syn_count', 'urg_count', 'rst_count', 'HTTPS', 'Tot sum', 'Min', 'Max', 'AVG', 'Std', 'Tot size', 'Magnitue', 'Radius', 'Covariance', 'Variance']",17,0.9883949893166869,0.8714526059711023,0.8766392574532109,0.8740268859481524
5,KNeighborsClassifier,Pearson 0.1,"['Header_Length', 'Duration', 'ack_flag_number', 'syn_count', 'urg_count', 'rst_count', 'HTTPS', 'Tot sum', 'Min', 'Max', 'AVG', 'Std', 'Tot size', 'Magnitue', 'Radius', 'Covariance', 'Variance']",17,0.9894842682977921,0.8734940124557307,0.9086251150204638,0.8902229893084336
6,RandomForestClassifier,RFE 4,"['flow_duration', 'urg_count', 'rst_count', 'IAT']",4,0.9965226863295488,0.9590718912486715,0.9654819846680311,0.9622535434429481
7,DecisionTreeClassifier,RFE 4,"['flow_duration', 'urg_count', 'rst_count', 'IAT']",4,0.9953286689848758,0.9494607975104956,0.9482835761905529,0.9488713739841772
8,KNeighborsClassifier,RFE 4,"['flow_duration', 'urg_count', 'rst_count', 'IAT']",4,0.9920817797142737,0.8946724558227247,0.9461846973474881,0.9187576363246881
9,RandomForestClassifier,RFE 5,"['flow_duration', 'urg_count', 'rst_count', 'IAT', 'Number']",5,0.9965017386568352,0.959025766585583,0.9650347574766179,0.9620096929001132
10,DecisionTreeClassifier,RFE 5,"['flow_duration', 'urg_count', 'rst_count', 'IAT', 'Number']",5,0.9954962503665843,0.9505950265822074,0.9509883893604824,0.950791617600335
11,KNeighborsClassifier,RFE 5,"['flow_duration', 'urg_count', 'rst_count', 'IAT', 'Number']",5,0.9920817797142737,0.8946724558227247,0.9461846973474881,0.9187576363246881
